Name of the Movie,Year,Rate,Metascore,Votes,n_Rate
Inception,2010,8.8,74,2334129,88.0
Shutter Island,2010,8.2,63,1303396,82.0
Toy Story 3,2010,8.3,92,833234,83.0
Iron Man 2,2010,6.9,57,814835,69.0
Black Swan,2010,8.0,79,765214,80.0
How to Train Your Dragon,2010,8.1,75,737794,81.0
The Social Network,2010,7.8,95,701019,78.0
The King's Speech,2010,8.0,88,680447,80.0
Kick-Ass,2010,7.6,66,563217,76.0
Despicable Me,2010,7.6,72,547244,76.0
Harry Potter and the Deathly Hallows: Part 1,2010,7.7,65,546740,77.0
Tangled,2010,7.7,71,452970,77.0
Scott Pilgrim vs. the World,2010,7.5,69,426160,75.0
Alice in Wonderland,2010,6.4,53,415597,64.0
Easy A,2010,7.0,72,391652,70.0
The Town,2010,7.5,74,391202,75.0
127 Hours,2010,7.6,82,377627,76.0
The Fighter,2010,7.8,79,368531,78.0
The Expendables,2010,6.4,45,346561,64.0
Due Date,2010,6.5,51,344668,65.0
True Grit,2010,7.6,80,339839,76.0
Tron,2010,6.8,49,338150,68.0
The Book of Eli,2010,6.8,53,319324,68.0
Salt,2010,6.4,65,315761,64.0
Insidious,2010,6.8,52,310126,68.0
RED,2010,7.0,60,309877,70.0
Prince of Persia: The Sands of Time,2010,6.6,50,290782,66.0
Clash of the Titans,2010,5.8,39,283453,58.0
Robin Hood,2010,6.6,53,270549,66.0
The Other Guys,2010,6.6,64,269753,66.0
Megamind,2010,7.3,63,262961,73.0
The A-Team,2010,6.7,47,259836,67.0
Grown Ups,2010,5.9,30,253353,59.0
The Twilight Saga: Eclipse,2010,5.0,58,247179,50.0
The Tourist,2010,6.0,37,244410,60.0
Predators,2010,6.4,51,232681,64.0
Shrek Forever After,2010,6.3,58,205702,63.0
Love & Other Drugs,2010,6.7,55,205240,67.0
Unstoppable,2010,6.8,69,198430,68.0
Blue Valentine,2010,7.3,81,198333,73.0
Machete,2010,6.6,60,198258,66.0
The Next Three Days,2010,7.3,52,197955,73.0
Knight and Day,2010,6.3,46,197316,63.0
Percy Jackson & the Olympians: The Lightning Thief,2010,5.8,47,189957,58.0
The Karate Kid,2010,6.2,61,185011,62.0
Tucker and Dale vs Evil,2010,7.5,65,181406,75.0
Get Him to the Greek,2010,6.3,65,179495,63.0
Incendies,2010,8.3,80,177780,83.0
Hot Tub Time Machine,2010,6.4,63,176276,64.0
Resident Evil: Afterlife,2010,5.8,37,172606,58.0
The Ghost Writer,2010,7.2,77,164855,72.0
The Last Airbender,2010,4.0,20,164347,40.0
Date Night,2010,6.3,56,163857,63.0
The Sorcerer's Apprentice,2010,6.1,46,163033,61.0
Buried,2010,7.0,65,161774,70.0
The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,6.3,53,155370,63.0
Dear John,2010,6.3,43,150016,63.0
Remember Me,2010,7.1,40,148273,71.0
Devil,2010,6.3,44,147637,63.0
Never Let Me Go,2010,7.1,69,146762,71.0
It's Kind of a Funny Story,2010,7.1,63,143991,71.0
Winter's Bone,2010,7.1,90,143901,71.0
She's Out of My League,2010,6.4,46,138185,64.0
Green Zone,2010,6.8,63,138008,68.0
Life as We Know It,2010,6.5,39,132989,65.0
Ang-ma-reul bo-at-da,2010,7.8,67,131293,78.0
The Kids Are All Right,2010,7.0,86,131113,70.0
The Bounty Hunter,2010,5.5,22,128612,55.0
Let Me In,2010,7.1,79,122553,71.0
The Crazies,2010,6.5,56,122148,65.0
Valentine's Day,2010,5.7,34,120442,57.0
From Paris with Love,2010,6.4,42,117911,64.0
The Way Back,2010,7.3,66,117287,73.0
Little Fockers,2010,5.5,27,113567,55.0
Faster,2010,6.4,44,108044,64.0
My Name Is Khan,2010,7.9,50,107655,79.0
The Wolfman,2010,5.8,43,107562,58.0
Dinner for Schmucks,2010,5.9,56,107416,59.0
Repo Men,2010,6.3,32,107412,63.0
The Switch,2010,6.1,52,106738,61.0
Legion,2010,5.2,32,105936,52.0
Yip Man 2,2010,7.5,67,105759,75.0
Paranormal Activity 2,2010,5.7,53,105104,57.0
Leap Year,2010,6.4,33,105001,64.0
Wall Street: Money Never Sleeps,2010,6.2,59,103407,62.0
The Losers,2010,6.3,44,102739,63.0
A Nightmare on Elm Street,2010,5.2,35,101820,52.0
Letters to Juliet,2010,6.5,50,100933,65.0
Saw 3D,2010,5.5,24,99627,55.0
Eat Pray Love,2010,5.8,50,98154,58.0
The American,2010,6.3,61,97786,63.0
Edge of Darkness,2010,6.6,55,95206,66.0
Hereafter,2010,6.5,56,93296,65.0
Karigurashi no Arietty,2010,7.6,80,93280,76.0
Monsters,2010,6.4,63,93224,64.0
Beginners,2010,7.2,81,92553,72.0
Killers,2010,5.4,21,92445,54.0
Piranha 3D,2010,5.5,53,92127,55.0
Submarine,2010,7.3,76,91451,73.0
Biutiful,2010,7.4,58,91253,74.0
Flipped,2010,7.7,45,90635,77.0
Skyline,2010,4.5,26,90196,45.0
Cop Out,2010,5.5,31,88524,55.0
The Last Song,2010,6.0,33,88250,60.0
Burlesque,2010,6.4,47,86712,64.0
I Spit on Your Grave,2010,6.2,27,85181,62.0
Legend of the Guardians: The Owls of Ga'Hoole,2010,6.9,53,84001,69.0
Tropa de Elite 2: O Inimigo Agora é Outro,2010,8.0,71,83490,80.0
Centurion,2010,6.3,62,83367,63.0
Super,2010,6.7,50,80685,67.0
Sex and the City 2,2010,4.5,27,80423,45.0
Morning Glory,2010,6.5,57,79489,65.0
Four Lions,2010,7.3,68,78359,73.0
Inside Job,2010,8.2,88,75932,82.0
Trolljegeren,2010,6.9,61,74884,69.0
Frozen,2010,6.2,43,74364,62.0
Senna,2010,8.5,79,71313,85.0
Gulliver's Travels,2010,4.9,33,70180,49.0
The Debt,2010,6.8,65,69982,68.0
Exit Through the Gift Shop,2010,8.0,85,66673,80.0
Jûsan-nin no shikaku,2010,7.5,84,65996,75.0
Jackass 3D,2010,7.0,56,65901,70.0
Takers,2010,6.2,45,63214,62.0
When in Rome,2010,5.5,25,62806,55.0
Charlie St. Cloud,2010,6.4,37,62717,64.0
Jonah Hex,2010,4.7,33,59443,47.0
Going the Distance,2010,6.3,51,58716,63.0
Step Up 3D,2010,6.1,45,58465,61.0
Animal Kingdom,2010,7.3,83,58132,73.0
All Good Things,2010,6.3,57,56930,63.0
Hesher,2010,6.9,45,52707,69.0
You Again,2010,5.7,28,52431,57.0
Diary of a Wimpy Kid,2010,6.2,56,51810,62.0
Everything Must Go,2010,6.4,65,51472,64.0
How Do You Know,2010,5.4,46,51266,54.0
Death at a Funeral,2010,5.7,51,50706,57.0
The Back-up Plan,2010,5.3,34,50492,53.0
The Last Exorcism,2010,5.7,63,50302,57.0
Rabbit Hole,2010,7.0,76,49753,70.0
Fair Game,2010,6.8,69,49471,68.0
The Runaways,2010,6.5,65,49439,65.0
Vampires Suck,2010,3.4,18,49368,34.0
Don't Be Afraid of the Dark,2010,5.5,56,49301,55.0
Last Night,2010,6.5,50,49025,65.0
Black Death,2010,6.4,71,48751,64.0
London Boulevard,2010,6.2,52,48709,62.0
Tooth Fairy,2010,5.0,36,46948,50.0
The Company Men,2010,6.7,69,46018,67.0
You Will Meet a Tall Dark Stranger,2010,6.3,51,45912,63.0
MacGruber,2010,5.6,43,45784,56.0
Somewhere,2010,6.3,67,45131,63.0
Conviction,2010,7.2,61,44634,72.0
The Spy Next Door,2010,5.4,27,44521,54.0
The Ward,2010,5.5,38,43078,55.0
Catfish,2010,7.1,65,43061,71.0
Stake Land,2010,6.4,66,42895,64.0
Trust,2010,6.9,60,42755,69.0
13,2010,6.0,29,42412,60.0
Stone,2010,5.4,58,41834,54.0
Hævnen,2010,7.6,65,40373,76.0
Wild Target,2010,6.7,41,38654,67.0
Greenberg,2010,6.1,76,37900,61.0
Rubber,2010,5.7,59,37759,57.0
Cyrus,2010,6.3,74,35815,63.0
L'illusionniste,2010,7.5,82,35425,75.0
6 Souls,2010,6.0,28,34827,60.0
The Killer Inside Me,2010,6.1,53,34576,61.0
The Whistleblower,2010,7.1,59,34274,71.0
Nanny McPhee and the Big Bang,2010,6.1,52,33352,61.0
The Way,2010,7.3,64,33140,73.0
"Tomorrow, When the War Began",2010,6.1,54,31339,61.0
Happythankyoumoreplease,2010,6.7,45,30098,67.0
Another Year,2010,7.4,80,29783,74.0
Les amours imaginaires,2010,7.1,70,29339,71.0
Rare Exports,2010,6.6,71,29142,66.0
The Conspirator,2010,6.9,55,29032,69.0
Secretariat,2010,7.2,61,28871,72.0
The Perfect Host,2010,6.7,48,27236,67.0
Boy,2010,7.5,70,26966,75.0
L'arnacoeur,2010,6.7,59,26768,67.0
The Warrior's Way,2010,6.2,45,26554,62.0
Vanishing on 7th Street,2010,4.9,50,26469,49.0
Les petits mouchoirs,2010,7.1,50,25632,71.0
Barney's Version,2010,7.3,67,25284,73.0
Copie conforme,2010,7.2,82,24916,72.0
Welcome to the Rileys,2010,6.9,50,24587,69.0
Restrepo,2010,7.4,85,23868,74.0
Harry Potter and the Deathly Hallows - Part 2,2011,8.1,85,870849,81.0
The Intouchables,2011,8.5,57,853395,85.0
Thor,2011,7.0,57,847248,70.0
Captain America: The First Avenger,2011,6.9,66,842459,69.0
X: First Class,2011,7.7,65,692675,77.0
Drive,2011,7.8,78,637948,78.0
Limitless,2011,7.4,59,573922,74.0
Rise of the Planet of the Apes,2011,7.6,68,529185,76.0
Pirates of the Caribbean: On Stranger Tides,2011,6.6,45,528256,66.0
"Crazy, Stupid, Love.",2011,7.4,68,520944,74.0
Source Code,2011,7.5,74,520924,75.0
The Hangover Part II,2011,6.4,44,500688,64.0
Mission: Impossible - Ghost Protocol,2011,7.4,73,490795,74.0
Warrior,2011,8.2,71,472299,82.0
The Girl with the Dragon Tattoo,2011,7.8,71,463672,78.0
The Help,2011,8.1,62,459062,81.0
Sherlock Holmes: A Game of Shadows,2011,7.4,48,455375,74.0
Horrible Bosses,2011,6.9,57,449733,69.0
Midnight in Paris,2011,7.7,81,424412,77.0
Moneyball,2011,7.6,87,423395,76.0
The Cabin in the Woods,2011,7.0,72,418854,70.0
In Time,2011,6.7,53,412259,67.0
Transformers: Dark of the Moon,2011,6.2,42,409428,62.0
Fast Five,2011,7.3,66,381888,73.0
Friends with Benefits,2011,6.5,63,369724,65.0
Super 8,2011,7.0,72,355106,70.0
50/50,2011,7.6,72,331166,76.0
Real Steel,2011,7.0,56,330071,70.0
Hugo,2011,7.5,83,323753,75.0
Contagion,2011,6.8,70,304283,68.0
Bridesmaids,2011,6.8,75,293030,68.0
Green Lantern,2011,5.5,39,285882,55.0
Kung Fu Panda 2,2011,7.2,67,285811,72.0
Rango,2011,7.2,75,266562,72.0
Unknown,2011,6.8,56,262394,68.0
The Adjustment Bureau,2011,7.0,60,258826,70.0
Paul,2011,6.9,57,253803,69.0
The Grey,2011,6.8,64,253649,68.0
Just Go with It,2011,6.4,33,245726,64.0
Jodaeiye Nader az Simin,2011,8.3,95,245334,83.0
Sucker Punch,2011,6.0,33,243675,60.0
The Descendants,2011,7.3,84,242804,73.0
The Artist,2011,7.9,89,241883,79.0
The Twilight Saga: Breaking Dawn - Part 1,2011,4.9,45,241677,49.0
The Lincoln Lawyer,2011,7.3,63,239673,73.0
I Am Number Four,2011,6.1,36,238694,61.0
The Adventures of Tintin,2011,7.3,68,231889,73.0
No Strings Attached,2011,6.2,50,231511,62.0
Rio,2011,6.9,63,228710,69.0
The Ides of March,2011,7.1,67,223621,71.0
Cowboys & Aliens,2011,6.0,50,222204,60.0
Serbuan maut,2011,7.6,73,205490,76.0
Bad Teacher,2011,5.6,47,204204,56.0
Tinker Tailor Soldier Spy,2011,7.0,85,202596,70.0
Hanna,2011,6.8,65,199848,68.0
Shame,2011,7.2,72,196748,72.0
Cars 2,2011,6.2,57,191151,62.0
The Change-Up,2011,6.3,39,183963,63.0
Melancholia,2011,7.1,80,183770,71.0
Battle: Los Angeles,2011,5.7,37,180978,57.0
The Tree of Life,2011,6.8,85,177793,68.0
Immortals,2011,6.0,46,169460,60.0
The Mechanic,2011,6.5,49,161871,65.0
The Green Hornet,2011,5.8,39,161109,58.0
Puss in Boots,2011,6.6,65,160167,66.0
War Horse,2011,7.2,72,158256,72.0
We Need to Talk About Kevin,2011,7.5,68,155958,75.0
One Day,2011,7.0,48,153988,70.0
La piel que habito,2011,7.6,70,153710,76.0
Scream 4,2011,6.2,52,150870,62.0
Tower Heist,2011,6.2,59,145123,62.0
We Bought a Zoo,2011,7.1,58,144502,71.0
The Thing,2011,6.2,49,133711,62.0
Margin Call,2011,7.1,76,132603,71.0
Johnny English Reborn,2011,6.3,46,131990,63.0
Killer Elite,2011,6.4,44,131060,64.0
J. Edgar,2011,6.5,59,129284,65.0
Carnage,2011,7.1,61,127577,71.0
Hall Pass,2011,5.9,45,126577,59.0
Priest,2011,5.7,41,120608,57.0
Ghost Rider: Spirit of Vengeance,2011,4.3,34,120346,43.0
Final Destination 5,2011,5.9,50,117502,59.0
Water for Elephants,2011,6.9,52,117018,69.0
Red Riding Hood,2011,5.4,29,112880,54.0
The Iron Lady,2011,6.4,52,109980,64.0
The Three Musketeers,2011,5.7,35,108468,57.0
Fright Night,2011,6.4,64,107967,64.0
Attack the Block,2011,6.6,75,107484,66.0
The Rum Diary,2011,6.1,56,105540,61.0
A Dangerous Method,2011,6.4,76,104255,64.0
Hodejegerne,2011,7.5,72,102764,75.0
Extremely Loud & Incredibly Close,2011,6.9,46,102493,69.0
Colombiana,2011,6.4,45,102043,64.0
30 Minutes or Less,2011,6.1,49,101793,61.0
Your Highness,2011,5.5,31,101692,55.0
Take Shelter,2011,7.3,85,101250,73.0
You're Next,2011,6.6,66,100631,66.0
Drive Angry,2011,5.4,44,100027,54.0
Conan the Barbarian,2011,5.1,36,99634,51.0
The Rite,2011,6.0,38,98856,60.0
Mr. Popper's Penguins,2011,6.0,53,98194,60.0
Another Earth,2011,6.9,66,96308,69.0
The Best Exotic Marigold Hotel,2011,7.2,62,95943,72.0
Paranormal Activity 3,2011,5.8,59,95782,58.0
Season of the Witch,2011,5.4,28,94826,54.0
The Muppets,2011,7.1,75,93055,71.0
The Smurfs,2011,5.4,30,91091,54.0
Jane Eyre,2011,7.3,76,88674,73.0
The Guard,2011,7.3,78,88599,73.0
Our Idiot Brother,2011,6.4,60,88332,64.0
My Week with Marilyn,2011,6.9,65,87583,69.0
Goon,2011,6.8,64,87559,68.0
Haywire,2011,5.8,67,87319,58.0
Detachment,2011,7.7,52,86715,77.0
New Year's Eve,2011,5.6,22,86403,56.0
Jack and Jill,2011,3.3,23,85310,33.0
Young Adult,2011,6.3,71,84731,63.0
The Inbetweeners Movie,2011,6.7,44,83296,67.0
What's Your Number?,2011,6.0,35,81797,60.0
Abduction,2011,5.1,25,80921,51.0
Killer Joe,2011,6.7,62,79061,67.0
Beastly,2011,5.5,40,78078,55.0
Justin Bieber: Never Say Never,2011,1.6,52,76280,16.0
The Sitter,2011,5.6,39,71110,56.0
The Eagle,2011,6.2,55,70922,62.0
God Bless America,2011,7.1,56,70411,71.0
A Very Harold & Kumar 3D Christmas,2011,6.2,61,70088,62.0
Larry Crowne,2011,6.1,41,68014,61.0
Dream House,2011,6.0,35,67207,60.0
The Awakening,2011,6.4,53,67035,64.0
Machine Gun Preacher,2011,6.7,43,66548,67.0
Salmon Fishing in the Yemen,2011,6.8,58,65255,68.0
Red State,2011,6.1,50,64974,61.0
"Jeff, Who Lives at Home",2011,6.5,60,64216,65.0
Something Borrowed,2011,5.8,36,62724,58.0
The Devil's Double,2011,7.1,52,62400,71.0
Like Crazy,2011,6.6,68,61990,66.0
Zookeeper,2011,5.2,30,61979,52.0
The Darkest Hour,2011,4.9,18,61624,49.0
Bernie,2011,6.8,75,60848,68.0
Perfect Sense,2011,7.0,55,60645,70.0
Arthur Christmas,2011,7.1,69,59449,71.0
The Art of Getting By,2011,6.5,36,59310,65.0
Grave Encounters,2011,6.1,33,59006,61.0
Gnomeo & Juliet,2011,5.9,53,56427,59.0
Apollo 18,2011,5.2,24,55991,52.0
Sanctum,2011,5.9,42,55899,59.0
The Dilemma,2011,5.3,46,54756,53.0
Win Win,2011,7.1,75,54076,71.0
Take Me Home Tonight,2011,6.3,42,53695,63.0
Martha Marcy May Marlene,2011,6.8,75,53623,68.0
Don 2,2011,7.0,49,53595,70.0
Jin ling shi san chai,2011,7.5,46,53249,75.0
Arthur,2011,5.7,36,52114,57.0
Footloose,2011,5.8,58,50452,58.0
Soul Surfer,2011,7.0,53,50152,70.0
The Beaver,2011,6.6,60,49401,66.0
Kill the Irishman,2011,7.0,50,48963,70.0
Hobo with a Shotgun,2011,6.1,55,46733,61.0
Bir Zamanlar Anadolu'da,2011,7.8,82,46718,78.0
Seeking Justice,2011,6.1,38,46640,61.0
The Big Year,2011,6.2,53,45762,62.0
Monte Carlo,2011,5.8,43,45507,58.0
Happy Feet Two,2011,5.8,50,45269,58.0
Kokuriko-zaka kara,2011,7.4,71,44733,74.0
Trespass,2011,5.3,37,43783,53.0
Mientras duermes,2011,7.2,70,43273,72.0
Ra.One,2011,4.7,60,43141,47.0
Friends with Kids,2011,6.1,55,42523,61.0
Ironclad,2011,6.1,42,42414,61.0
Kill List,2011,6.4,67,41562,64.0
Anonymous,2011,6.8,50,41138,68.0
The Hunter,2011,6.7,63,39479,67.0
The Human Centipede II (Full Sequence),2011,3.8,17,39408,38.0
The Roommate,2011,4.8,23,39267,48.0
Cedar Rapids,2011,6.3,70,38635,63.0
The Divide,2011,5.8,28,37198,58.0
Jiro Dreams of Sushi,2011,7.8,77,36243,78.0
Samsara,2011,8.4,65,36202,84.0
Alvin and the Chipmunks: Chipwrecked,2011,4.3,24,35932,43.0
This Must Be the Place,2011,6.7,61,35696,67.0
The Innkeepers,2011,5.5,64,35677,55.0
Hop,2011,5.4,41,34762,54.0
Straw Dogs,2011,5.8,45,34691,58.0
In the Land of Blood and Honey,2011,4.7,56,34341,47.0
Flypaper,2011,6.3,37,33156,63.0
Sleeping Beauty,2011,5.3,57,32960,53.0
Tyrannosaur,2011,7.5,65,32474,75.0
Coriolanus,2011,6.1,79,32411,61.0
Hysteria,2011,6.7,53,32197,67.0
Diary of a Wimpy Kid: Rodrick Rules,2011,6.5,51,32071,65.0
The Dark Knight Rises,2012,8.4,78,1695623,84.0
Django Unchained,2012,8.4,81,1541718,84.0
The Avengers,2012,8.0,69,1385431,80.0
The Hunger Games,2012,7.2,68,916185,72.0
The Hobbit: An Unexpected Journey,2012,7.8,58,826922,78.0
Silver Linings Playbook,2012,7.7,81,708987,77.0
Skyfall,2012,7.8,81,696516,78.0
The Amazing Spider-Man,2012,6.9,66,655270,69.0
Life of Pi,2012,7.9,79,629564,79.0
Ted,2012,6.9,62,614884,69.0
Argo,2012,7.7,86,614653,77.0
Prometheus,2012,7.0,64,609889,70.0
Looper,2012,7.4,84,576114,74.0
21 Jump Street,2012,7.2,69,557676,72.0
The Perks of Being a Wallflower,2012,8.0,67,511358,80.0
Wreck-It Ralph,2012,7.7,72,422827,77.0
Brave,2012,7.1,69,411935,71.0
Men in Black 3,2012,6.8,58,364068,68.0
Cloud Atlas,2012,7.4,55,363062,74.0
Flight,2012,7.3,76,355378,73.0
Moonrise Kingdom,2012,7.8,84,350237,78.0
Jack Reacher,2012,7.0,50,342540,70.0
Les Misérables,2012,7.5,63,330571,75.0
Jagten,2012,8.3,77,329436,83.0
The Expendables 2,2012,6.6,51,308262,66.0
Taken 2,2012,6.2,45,308090,62.0
The Dictator,2012,6.4,58,308045,64.0
Pitch Perfect,2012,7.1,66,306925,71.0
The Bourne Legacy,2012,6.6,61,303264,66.0
Zero Dark Thirty,2012,7.4,95,301730,74.0
Snow White and the Huntsman,2012,6.1,57,290812,61.0
Dredd,2012,7.1,60,276407,71.0
John Carter,2012,6.6,51,273802,66.0
The Place Beyond the Pines,2012,7.3,68,269706,73.0
Dark Shadows,2012,6.2,55,268722,62.0
Lincoln,2012,7.3,86,261308,73.0
Seven Psychopaths,2012,7.1,66,258636,71.0
Hotel Transylvania,2012,7.0,47,256781,70.0
Total Recall,2012,6.2,43,255478,62.0
Sinister,2012,6.8,53,254484,68.0
Chronicle,2012,7.0,69,252699,70.0
The Twilight Saga: Breaking Dawn - Part 2,2012,5.5,52,249937,55.0
End of Watch,2012,7.6,68,249558,76.0
Battleship,2012,5.8,41,248994,58.0
Lawless,2012,7.2,58,243113,72.0
Lo imposible,2012,7.5,73,224758,75.0
Safe House,2012,6.7,52,224092,67.0
American Reunion,2012,6.7,49,215388,67.0
Project X,2012,6.6,48,211635,66.0
Ice Age: Continental Drift,2012,6.5,49,210138,65.0
The Vow,2012,6.8,43,195283,68.0
Wrath of the Titans,2012,5.7,37,189986,57.0
This Means War,2012,6.3,31,187516,63.0
The Woman in Black,2012,6.4,62,184825,64.0
Madagascar 3: Europe's Most Wanted,2012,6.8,60,182479,68.0
Mud,2012,7.4,76,180256,74.0
Rise of the Guardians,2012,7.2,58,176082,72.0
The Master,2012,7.1,86,175468,71.0
Abraham Lincoln: Vampire Hunter,2012,5.9,42,156781,59.0
Underworld: Awakening,2012,6.3,39,155271,63.0
Man on a Ledge,2012,6.6,40,153264,66.0
Killing Them Softly,2012,6.2,64,145396,62.0
Resident Evil: Retribution,2012,5.3,39,143578,53.0
Spring Breakers,2012,5.3,63,143067,53.0
This Is 40,2012,6.2,59,142277,62.0
Magic Mike,2012,6.1,72,139031,61.0
The Campaign,2012,6.1,50,132020,61.0
Savages,2012,6.4,59,130796,64.0
The Watch,2012,5.7,36,128601,57.0
Safety Not Guaranteed,2012,6.9,72,126323,69.0
Contraband,2012,6.4,51,123235,64.0
Seeking a Friend for the End of the World,2012,6.7,59,115044,67.0
Premium Rush,2012,6.5,66,114664,65.0
The Lorax,2012,6.4,46,114199,64.0
Safe,2012,6.5,55,111444,65.0
The Lucky One,2012,6.4,39,109261,64.0
Frankenweenie,2012,6.9,74,109103,69.0
Get the Gringo,2012,6.9,60,108593,69.0
Journey 2: The Mysterious Island,2012,5.7,41,105233,57.0
ParaNorman,2012,7.0,72,103543,70.0
Ruby Sparks,2012,7.2,67,101774,72.0
That's My Boy,2012,5.5,31,101341,55.0
Amour,2012,7.9,94,100907,79.0
Anna Karenina,2012,6.6,63,100830,66.0
The Five-Year Engagement,2012,6.2,62,99356,62.0
Lockout,2012,6.0,48,99010,60.0
Gangs of Wasseypur,2012,8.2,89,96564,82.0
Here Comes the Boom,2012,6.4,40,92065,64.0
Stuck in Love,2012,7.2,49,88510,72.0
To Rome with Love,2012,6.3,54,88422,63.0
Mirror Mirror,2012,5.6,46,88238,56.0
The Raven,2012,6.4,44,85623,64.0
Frances Ha,2012,7.4,82,84150,74.0
Beasts of the Southern Wild,2012,7.2,86,83565,72.0
Rock of Ages,2012,5.9,47,78919,59.0
The Words,2012,7.0,37,78700,70.0
Red Dawn,2012,5.3,31,77867,53.0
Wanderlust,2012,5.6,53,77773,56.0
House at the End of the Street,2012,5.5,31,77598,55.0
Hitchcock,2012,6.8,55,76472,68.0
Disconnect,2012,7.5,64,76215,75.0
The Iceman,2012,6.8,60,75620,68.0
What to Expect When You're Expecting,2012,5.7,41,73478,57.0
Upside Down,2012,6.3,45,72200,63.0
The First Time,2012,6.8,55,71356,68.0
Act of Valor,2012,6.4,40,69559,64.0
Searching for Sugar Man,2012,8.2,79,68792,82.0
De rouille et d'os,2012,7.4,73,67997,74.0
